,image_id,image_location,turtle_id
140,ID_C0THF948,left,t_id_DPYQnZyv
141,ID_VBPPR3Y7,right,t_id_DbmclTcj
142,ID_TM5CCJQ7,left,t_id_GrxmyS59
143,ID_NO9OIJ2H,top,t_id_G5eoqwD8
144,ID_86H4SWHF,right,t_id_0g31STvR
145,ID_X9LXO5HR,right,t_id_G5eoqwD8
146,ID_AHAESL2D,right,t_id_Imm5pnNf
147,ID_EFS5ZIVU,right,t_id_WXXcPTSW
148,ID_G7ZC3IXH,right,t_id_IlO9BOKc
149,ID_O1BPUT8S,top,t_id_VFb44eFm
150,ID_J2Y1DSBL,top,t_id_uMOOrQu7
151,ID_HLRPJPLM,top,t_id_3fKmnkBS
152,ID_TMN5YR5U,top,t_id_Kc1tXDbJ
153,ID_L547VRCF,right,t_id_mpuNp8mf
154,ID_3RBHM6FO,right,t_id_iZQiE7wb
155,ID_ENXXPGGR,right,t_id_8b8sprYe
156,ID_YR8D6IQ6,top,t_id_fxTQ5vHC
157,ID_JF4O7LG2,right,t_id_GrxmyS59
158,ID_J3FIC6EP,Top,t_id_p77GDtzg
159,ID_8DDL17XK,Left,t_id_HxxqrdTx
160,ID_Q3U7PBL2,top,t_id_NW7wn8TC
161,ID_IFO678V1,left,t_id_AOWArhGb
162,ID_HW28KOA7,Left,t_id_B7LaSiac
163,ID_GS2F2MW5,right,t_id_mXD9Bjsb
164,ID_YB3TP5OR,right,t_id_WDCMGvI4
165,ID_XAO3YF62,top,t_id_D0gA44av
166,ID_C1BYU1PB,top,t_id_J24awAHQ
167,ID_B61OR82C,left,t_id_15bo4NKD
168,ID_Y9NYWUY6,left,t_id_uJXT7dGu
169,ID_ZH72MNHJ,left,t_id_gGQbn7FA
170,ID_EAY71H9C,top,t_id_G5JLzvai
171,ID_4LFAG0GT,left,t_id_EEbWq5Pj
172,ID_K7F402DY,right,t_id_fxTQ5vHC
173,ID_HDPVDTHZ,Left,t_id_GOIvCduN
174,ID_AYYF9AA5,right,t_id_smNwfXAT
175,ID_3VW2J1FZ,right,t_id_fxTQ5vHC
176,ID_LH598T6E,right,t_id_hRzOoJ2t
177,ID_7OYMWNUE,right,t_id_D3kHUEgp
178,ID_D329XY40,left,t_id_OqU1NWEA
179,ID_BPU39K37,right,t_id_a4VYrmyA
180,ID_FIGY3T6W,left,t_id_9GFmcOd5
181,ID_VL36TJCA,right,t_id_JI6ba2Yx
182,ID_1BWWORQD,left,t_id_8b8sprYe
183,ID_BKAN6GHT,left,t_id_bYageLYA
184,ID_1SPFXL92,top,t_id_JI6ba2Yx
185,ID_V8HWPX4S,top,t_id_8b8sprYe
186,ID_546OK6LK,left,t_id_YjXYTCGC
187,ID_DJI922WL,left,t_id_pCO59rOk
188,ID_3FEFN3JQ,top,t_id_JI6ba2Yx
189,ID_M760T3Y0,left,t_id_pCO59rOk
190,ID_LAB3YXQM,right,t_id_D0gA44av
191,ID_9D7O7BNO,Right,t_id_GOIvCduN
192,ID_SZ71OF5U,top,t_id_iD9ikw6Y
193,ID_J4LJW3XC,left,t_id_dVQ4x3wz
194,ID_L93UPACV,right,t_id_uIlC9Gfo
195,ID_IDKTP9P7,Left,t_id_HxxqrdTx
196,ID_O1OIO05P,left,t_id_VP2NW7aV
197,ID_AHKMI3EV,Top,t_id_GOIvCduN
198,ID_5AD65I4B,right,t_id_VP2NW7aV
199,ID_FL86KCKT,left,t_id_2QmcRkNj
200,ID_8IOQ3H20,top,t_id_pCO59rOk
201,ID_P1M2DQ92,right,t_id_87CLFCvE
202,ID_PYUU50JJ,left,t_id_hRzOoJ2t
203,ID_ISM3W0LK,top,t_id_a4VYrmyA
204,ID_XHXFJ7S5,right,t_id_dVQ4x3wz
205,ID_X5IGA7ZC,left,t_id_tjWepji1
206,ID_Z5PB47TH,left,t_id_FBsGDJhU
207,ID_C0XD1GPV,top,t_id_uMOOrQu7
208,ID_P4F3CMRN,left,t_id_72SiiZCp
209,ID_YM0BCX48,left,t_id_bYageLYA
210,ID_PV8A8TSR,right,t_id_Kf73l69A
211,ID_VXBRYHSY,right,t_id_UVQa4BMz
212,ID_VF3L51JZ,left,t_id_SwQZGIpa
213,ID_0S8W21AW,top,t_id_0g31STvR
214,ID_AS53QVYU,left,t_id_3K93fQBS
215,ID_CM43B6M7,right,t_id_dVQ4x3wz
216,ID_H44WASZ9,left,t_id_uJXT7dGu
217,ID_95CNJ5F9,top,t_id_dVQ4x3wz
218,ID_AKFBYQEI,top,t_id_Kf73l69A
219,ID_GBIPGKYA,top,t_id_ZfvZBX4Q
220,ID_BAAEO834,left,t_id_IP1t15lD
221,ID_5J29FOYV,left,t_id_ZfvZBX4Q
222,ID_1HC59N7M,left,t_id_3fKmnkBS
223,ID_LWUBIFZE,top,t_id_dc6pjonY
224,ID_WBWA783J,left,t_id_WDCMGvI4
225,ID_GZAVAR20,top,t_id_SwQZGIpa
226,ID_8QBFZHVC,Top,t_id_B7LaSiac
227,ID_IR0HZ7PU,top,t_id_hRzOoJ2t
228,ID_EROKDWQ1,left,t_id_uVgs53Cz
229,ID_PEKZ9E1J,Top,t_id_3b65X5Lw
230,ID_0OAKNJBQ,right,t_id_e9i3Lbq4
231,ID_T4X2NJXT,left,t_id_C0wevyOl
232,ID_3B6AWEAY,right,t_id_SwQZGIpa
233,ID_ISHFXKJ8,right,t_id_dVQ4x3wz
234,ID_WCY4UDSS,right,t_id_n2FBHk6d
235,ID_IDU43BVE,top,t_id_ROFhVsy2
236,ID_P2I5L8EA,top,t_id_ksTLswDT
237,ID_LE932Y06,left,t_id_C0wevyOl
238,ID_Q8DDPT7E,right,t_id_KysHzQQK
239,ID_1RWHLFRK,right,t_id_e9i3Lbq4
240,ID_BQ73PAMG,top,t_id_WXXcPTSW
241,ID_L7ZYGMUD,left,t_id_AOWArhGb
242,ID_2QZRGCJ2,top,t_id_ZfvZBX4Q
243,ID_UA7QCOAK,left,t_id_JI6ba2Yx
244,ID_J1CJJLE6,left,t_id_BXWccqAn
245,ID_XLKC56IP,left,t_id_hRzOoJ2t
246,ID_CZKED7NQ,right,t_id_YjXYTCGC
247,ID_SDBFH6UK,right,t_id_2E8o5Jtl
248,ID_AKIY2YEW,right,t_id_utw0thCe
249,ID_6HWD3G9K,right,t_id_1KIezxkh
250,ID_SRV002C5,left,t_id_hRzOoJ2t
251,ID_LND5MMIH,left,t_id_stWei2Uq
252,ID_LP7JUNDW,right,t_id_ip3jsrYo
253,ID_DTHCY847,left,t_id_a4VYrmyA
254,ID_PCVB2UVB,top,t_id_mXD9Bjsb
255,ID_9RVRTRR0,right,t_id_72SiiZCp
256,ID_B30P44N6,left,t_id_tjWepji1
257,ID_2SKJ6BRJ,top,t_id_9GFmcOd5
258,ID_OKOS05PC,left,t_id_BI99coHt
259,ID_O3PSB5YN,left,t_id_Ts5LyVQz
260,ID_Z2WN3TT8,top,t_id_3K93fQBS
261,ID_SEKK9MFX,right,t_id_fxTQ5vHC
262,ID_C49XVZ5R,right,t_id_niEvmwXu
263,ID_RXGFH8F1,top,t_id_3K93fQBS
264,ID_4PYQJ8EO,top,t_id_KysHzQQK
265,ID_65RDT286,left,t_id_AOWArhGb
266,ID_VJIW0DHC,top,t_id_2Yn71r7R
267,ID_A7UAJD5D,left,t_id_WDCMGvI4
268,ID_GQJ9GYKO,right,t_id_ZfvZBX4Q
269,ID_WBNFY7BJ,right,t_id_C0wevyOl
270,ID_54EE1LXT,top,t_id_uJXT7dGu
271,ID_HPGCWLNH,top,t_id_a4VYrmyA
272,ID_97MM8CO3,right,t_id_G5eoqwD8
273,ID_703GHGF1,left,t_id_8b8sprYe
274,ID_R6B3K6OE,top,t_id_C0wevyOl
275,ID_QNS796W6,left,t_id_MwnEYfqe
276,ID_W3IKGL2R,top,t_id_UVQa4BMz
277,ID_8ESGYE0F,top,t_id_Kc1tXDbJ
278,ID_FHWWXME9,left,t_id_AMnriNb5
279,ID_QG488M1V,top,t_id_fxTQ5vHC
280,ID_MOPYVC4U,right,t_id_DPYQnZyv
281,ID_IR5VEFCL,right,t_id_72SiiZCp
282,ID_3KTXJW0H,right,t_id_MwnEYfqe
283,ID_DV4O9HZA,left,t_id_BI99coHt
284,ID_XUAK0MOX,left,t_id_BI99coHt
285,ID_ZNKXMMF3,top,t_id_C0wevyOl
286,ID_6LEAO1CH,top,t_id_uIlC9Gfo
287,ID_OZC6KK0Q,left,t_id_hibDzPAP
288,ID_HHQ41BU3,top,t_id_a4VYrmyA
289,ID_VO5H8L80,top,t_id_Ts5LyVQz
290,ID_BZK50GKL,left,t_id_Lhp87PBX
291,ID_RI6JUEDZ,top,t_id_Imm5pnNf
292,ID_TKDIA5OO,top,t_id_utw0thCe
293,ID_HP6JW8Z7,top,t_id_n2FBHk6d
294,ID_0WB4N789,left,t_id_IlO9BOKc
295,ID_8553S13P,right,t_id_Dv4O8bOM
296,ID_59PAXSBH,Left,t_id_HxxqrdTx
297,ID_8R011BJ7,top,t_id_dVQ4x3wz
298,ID_TJKJK3GT,right,t_id_IlO9BOKc
299,ID_Z13GROFM,left,t_id_Ts5LyVQz
300,ID_JWE18L2H,right,t_id_D3kHUEgp
301,ID_6MJKC6BJ,right,t_id_dVQ4x3wz
302,ID_FFJ36MUY,top,t_id_SwQZGIpa
303,ID_TDEYFFRJ,right,t_id_bYageLYA
304,ID_E7RQV5XA,left,t_id_9GFmcOd5
305,ID_TWD5RJ9O,left,t_id_m2JvEcsg
306,ID_60SCQFGY,right,t_id_utw0thCe
307,ID_H6T5L8AI,top,t_id_NW7wn8TC
308,ID_FP4ZKN3A,right,t_id_qZ0iZYsC
309,ID_7P33VKSS,top,t_id_Ts5LyVQz
310,ID_YCV0DZ9K,right,t_id_stWei2Uq
311,ID_9ST0DF4N,left,t_id_iD9ikw6Y
312,ID_KQVWICM0,right,t_id_VP2NW7aV
313,ID_RZJJGBVM,top,t_id_dhdJMT1K
314,ID_AMDTJIPS,right,t_id_2Yn71r7R
315,ID_VO33NMDC,right,t_id_Ts5LyVQz
316,ID_GTDPVPZD,left,t_id_BXWccqAn
317,ID_TCVSL145,right,t_id_Kf73l69A
318,ID_HY882SAA,right,t_id_JI6ba2Yx
319,ID_LHGM7OJ1,top,t_id_n2FBHk6d
320,ID_CQWEMNVV,left,t_id_15bo4NKD
321,ID_EPGYE8QX,top,t_id_hRzOoJ2t
322,ID_W6PAU4FN,left,t_id_KysHzQQK
323,ID_MBUZ1F22,left,t_id_m2JvEcsg
324,ID_EVUFNQNS,left,t_id_IlO9BOKc
325,ID_SM70K1RQ,right,t_id_VFb44eFm
326,ID_20MTQNWG,right,t_id_VP2NW7aV
327,ID_JG2X5YIW,right,t_id_hRzOoJ2t
328,ID_L86CSRXZ,left,t_id_BI99coHt
329,ID_YHPURQZO,top,t_id_ROFhVsy2
330,ID_8R946BSW,top,t_id_8b8sprYe
331,ID_M45GF9ZV,right,t_id_uVgs53Cz
332,ID_0R6UOFUQ,left,t_id_hRzOoJ2t
333,ID_KCU00M6B,top,t_id_ROFhVsy2
334,ID_RLLP216R,left,t_id_WDCMGvI4
335,ID_1SQB2VWI,top,t_id_mXD9Bjsb
336,ID_Q1MUD2XZ,top,t_id_BI99coHt
337,ID_P98AEGPJ,right,t_id_X3bKBWYW
338,ID_L2125VIR,top,t_id_VP2NW7aV
339,ID_D9FYF5Y4,Top,t_id_k1rScFLB
340,ID_8P99DAQ6,left,t_id_FBsGDJhU
341,ID_TAQQB3K2,right,t_id_d6aYXtor
342,ID_SJA9AFSI,top,t_id_IP3xtKuX
343,ID_KSXCCVMZ,top,t_id_7gFFZy7i
344,ID_N58GPHRW,top,t_id_UVQa4BMz
345,ID_YK0MNJ2N,left,t_id_1KIezxkh
346,ID_V9JEPA3P,top,t_id_tjWepji1
347,ID_YVEPI4QK,left,t_id_smNwfXAT
348,ID_88A7XCJC,top,t_id_G5eoqwD8
349,ID_E1616ABY,right,t_id_G5eoqwD8
350,ID_OBXB53RL,right,t_id_QqeoI5F3
351,ID_2KIZ2SSX,left,t_id_JI6ba2Yx
352,ID_OMDR6UAR,right,t_id_3K93fQBS
353,ID_WDQJTAHN,right,t_id_4ZfTUmwL
354,ID_P121ABSO,left,t_id_IlO9BOKc
355,ID_4UQDWJ58,top,t_id_ROFhVsy2
356,ID_QQ57CMG4,right,t_id_JI6ba2Yx
357,ID_QCMJ1R3C,right,t_id_WXXcPTSW
358,ID_ILY5B208,right,t_id_ksTLswDT
359,ID_GUURCI27,left,t_id_2E8o5Jtl
360,ID_XNS8SR5S,left,t_id_Kf73l69A
361,ID_SBK2IX9S,left,t_id_0DPPpRUz
362,ID_DRUTUFVE,top,t_id_3fKmnkBS
363,ID_T8GUO53E,right,t_id_ksTLswDT
364,ID_0D2ZJPGL,right,t_id_uJXT7dGu
365,ID_7FE177TK,right,t_id_pCO59rOk
366,ID_84R3WB9U,top,t_id_AOWArhGb
367,ID_WKVO2R02,right,t_id_AMnriNb5
368,ID_XP78GEEH,Top,t_id_3b65X5Lw
369,ID_17IHS7MU,top,t_id_AOWArhGb
370,ID_ICMRXSWD,right,t_id_AOWArhGb
371,ID_IE8KWIH2,left,t_id_a4VYrmyA
372,ID_ZZEGHRM5,left,t_id_m2JvEcsg
373,ID_P1VMEEI7,top,t_id_BI99coHt
374,ID_2FBSU5IN,right,t_id_8b8sprYe
375,ID_F0Z888YE,right,t_id_mpuNp8mf
376,ID_MU5D7R4G,top,t_id_JI6ba2Yx
377,ID_Y0UPDHST,left,t_id_4ZfTUmwL
378,ID_AT0KPFQ3,top,t_id_2Yn71r7R
379,ID_TCDNCKKF,left,t_id_DPYQnZyv
380,ID_SEWV3JB0,right,t_id_gz3whk0q
381,ID_OMRKZUGR,top,t_id_7gFFZy7i
382,ID_5NU130IP,top,t_id_niEvmwXu
383,ID_3WMD0EOX,right,t_id_mXD9Bjsb
384,ID_7QHF1SO7,right,t_id_n2FBHk6d
385,ID_0E36WAY8,right,t_id_2QmcRkNj
386,ID_SOJDCDOH,right,t_id_WDCMGvI4
387,ID_6FA6IV5O,top,t_id_Kf73l69A
388,ID_ZPPQGRA2,right,t_id_8b8sprYe
389,ID_3IK2E9D5,right,t_id_n2FBHk6d
390,ID_76MP9I87,left,t_id_a4VYrmyA
391,ID_F0THKU1D,Right,t_id_k1rScFLB
392,ID_62UIINJS,right,t_id_0g31STvR
393,ID_NKPIPQMC,right,t_id_J5dngbNA
394,ID_KSUSBCGB,top,t_id_hRzOoJ2t
395,ID_BWDOXI5I,top,t_id_dVQ4x3wz
396,ID_4DDQCGNA,top,t_id_IlO9BOKc
397,ID_X4AQS1F5,right,t_id_VP2NW7aV
398,ID_6R2DK3T6,right,t_id_JI6ba2Yx
399,ID_N0GC6PJB,right,t_id_m2JvEcsg
400,ID_NFGZXE2D,left,t_id_pCO59rOk
401,ID_BC9JEODE,left,t_id_0g31STvR
402,ID_VG8PXW7K,Top,t_id_k1rScFLB
403,ID_1X2W3ABD,left,t_id_BXWccqAn
404,ID_HYAXC1YL,top,t_id_Ts5LyVQz
405,ID_5K7Z4FCS,right,t_id_m2JvEcsg
406,ID_S02FL4ID,left,t_id_tjWepji1
407,ID_36B1ASYK,top,t_id_stWei2Uq
408,ID_GHW970A6,right,t_id_0g31STvR
409,ID_Y7MU53B4,left,t_id_gz3whk0q
410,ID_7HN2MEC6,right,t_id_gJaKYxBQ
411,ID_WZMZ9XBA,left,t_id_G5eoqwD8
412,ID_CDLECQ5M,top,t_id_C0wevyOl
413,ID_38OZ45LI,right,t_id_J24awAHQ
414,ID_MT7YKZK0,left,t_id_X3bKBWYW
415,ID_5XRXS3OO,left,t_id_JI6ba2Yx
416,ID_CQ9IDSKD,top,t_id_15bo4NKD
417,ID_7FCFWOER,right,t_id_a4VYrmyA
418,ID_7P8QE2GS,top,t_id_J24awAHQ
419,ID_2O9XULTA,top,t_id_ip3jsrYo
420,ID_ULJA2XPE,top,t_id_IlO9BOKc
421,ID_H0W0FGU3,top,t_id_dVQ4x3wz
422,ID_M8KSDBW6,left,t_id_fjHGjp1w
423,ID_DU0KD26P,top,t_id_D0gA44av
424,ID_Z9VDOO3S,right,t_id_uMOOrQu7
425,ID_T8O3U5PP,right,t_id_uIlC9Gfo
426,ID_U68O8V5X,right,t_id_2QmcRkNj
427,ID_WP5U7QSF,top,t_id_smNwfXAT
428,ID_3HH7GGZ6,top,t_id_VP2NW7aV
429,ID_37OGYEDP,right,t_id_iZQiE7wb
430,ID_KCRUVR9W,right,t_id_stWei2Uq
431,ID_U7KPVP7L,right,t_id_bYageLYA
432,ID_46B5FP3X,right,t_id_fjHGjp1w
433,ID_0TNFUYL8,right,t_id_3K93fQBS
434,ID_7Y8SXAI6,top,t_id_2QmcRkNj
435,ID_8T1WQZJE,left,t_id_Imm5pnNf
436,ID_4KDDR6E0,left,t_id_tjWepji1
437,ID_M8JKVA7O,top,t_id_D0gA44av
438,ID_5NER06CD,left,t_id_DPYQnZyv
439,ID_63BFNF8E,left,t_id_VP2NW7aV
440,ID_EIVPC3O6,left,t_id_2E8o5Jtl
441,ID_MZJHWLCE,top,t_id_ksTLswDT
442,ID_1RSRZF5W,right,t_id_JI6ba2Yx
443,ID_8PMW5U1H,left,t_id_dhdJMT1K
444,ID_H2MJAJ5W,top,t_id_uVgs53Cz
445,ID_NUL9C6NW,right,t_id_Lhp87PBX
446,ID_1WKRTDSL,top,t_id_dVQ4x3wz
447,ID_YBWK4C4R,left,t_id_qZ0iZYsC
448,ID_764Q4WFZ,top,t_id_AOWArhGb
449,ID_L627K1OF,right,t_id_utw0thCe
450,ID_9F8SKFKY,top,t_id_dVQ4x3wz
451,ID_BHC46VJD,top,t_id_qZ0iZYsC
452,ID_TWT9XMXN,right,t_id_fxTQ5vHC
453,ID_HP8RVWPA,right,t_id_NW7wn8TC
454,ID_6881RINB,right,t_id_Kf73l69A
455,ID_K4LZFKLS,left,t_id_BI99coHt
456,ID_DXMABDBX,right,t_id_2E8o5Jtl
457,ID_7ZRGUA9B,left,t_id_bYageLYA
458,ID_VW3H44ZQ,top,t_id_ZfvZBX4Q
459,ID_TDRU4IHL,top,t_id_tjWepji1
460,ID_OOYMQ3BV,left,t_id_niEvmwXu
461,ID_92UZ20IQ,top,t_id_87CLFCvE
462,ID_ZLHJADIY,left,t_id_a4VYrmyA
463,ID_BXVBBAWR,left,t_id_AOWArhGb
464,ID_OTOVP983,left,t_id_pCO59rOk
465,ID_ZPYEIZQI,top,t_id_Kf73l69A
466,ID_C9VEBF8B,right,t_id_FBsGDJhU
467,ID_TIBSUG79,right,t_id_DPYQnZyv
468,ID_31Q4VR77,right,t_id_tjWepji1
469,ID_26I2GKJZ,top,t_id_dc6pjonY
470,ID_XW4O8N8E,top,t_id_iD9ikw6Y
471,ID_N69BGA4O,left,t_id_dVQ4x3wz
472,ID_KSBIHT36,Left,t_id_3b65X5Lw
473,ID_WT34D0XT,right,t_id_IlO9BOKc
474,ID_C4MUC4FX,top,t_id_JI6ba2Yx
475,ID_VYHON58N,right,t_id_tjWepji1
476,ID_Z44QKKEG,Top,t_id_HxxqrdTx
477,ID_E5G47YQ8,left,t_id_UVQa4BMz
478,ID_F9KS2PWF,left,t_id_hRzOoJ2t
479,ID_YOA4VDQQ,left,t_id_stWei2Uq
480,ID_PFV2EGF9,left,t_id_m2JvEcsg
481,ID_PVTT5ZKJ,top,t_id_SwQZGIpa
482,ID_4F311WF5,right,t_id_ip3jsrYo
483,ID_V1N07YAE,top,t_id_hRzOoJ2t
484,ID_SEKQSWSL,Right,t_id_HxxqrdTx
485,ID_T1KNJO5G,right,t_id_VP2NW7aV
486,ID_FEB9T2KD,right,t_id_Kc1tXDbJ
487,ID_UHU1IIQC,top,t_id_n2FBHk6d
